amount,merchant,description,label
522.64,Amazon,Everything billion exactly.,normal
778.28,Netflix,Class big national.,normal
670.01,Shell,Protect trial degree financial read suddenly.,normal
171.8,LocalMarket,Stand lead staff skin market her world.,groceries
384.83,Shell,Itself as election method from guy.,normal
131.82,Starbucks,Democrat art family region ball between painting man.,normal
104.38,Netflix,Alone defense every produce make news finish.,normal
158.48,Amazon,Area moment institution produce these trade begin.,normal
252.72,Walmart,Effect task figure hotel according poor.,groceries
90.29,LocalMarket,Crime consumer blue couple oil doctor budget.,groceries
162.8,LocalMarket,Box deal our want someone.,normal
264.32,Starbucks,Will take world teacher.,normal
610.79,Netflix,Issue machine coach who step.,normal
147.2,InsuranceCo,Simple road stand meet.,utilities
104.05,Walmart,Smile make almost cause thank.,groceries
424.02,Shell,Nothing five green very week.,normal
1734.85,Amazon,Law very behind role expect card.,fraudulent
558.58,Shell,Increase should voice.,normal
397.23,Amazon,Final certain other very.,normal
128.92,LocalMarket,Table instead economy partner easy easy.,groceries
187.98,Shell,Bank religious exist bank magazine arm people.,normal
328.88,Walmart,Available already break contain pressure.,normal
383.6,Walmart,Pay this financial house image officer happen.,normal
229.58,LocalMarket,Continue book product machine major just.,normal
792.51,Shell,Smile see hot stand interesting movie.,normal
355.89,Amazon,Success because from theory step.,normal
220.58,LocalMarket,Hard word thank use.,normal
25.3,Starbucks,Thing real whose.,entertainment
283.03,Shell,Federal professor get administration bad brother.,normal
444.67,InsuranceCo,Every policy protect talk bring.,normal
451.13,Amazon,Recognize successful where officer religious.,normal
188.11,Walmart,Black grow trial bad begin.,groceries
152.99,Starbucks,Party traditional phone should support ago sure.,normal
295.87,LocalMarket,Star avoid check gas movie poor.,groceries
490.82,Walmart,Lay pressure population and toward.,normal
387.19,Shell,People board one never necessary wonder receive.,normal
104.46,Shell,As individual draw base investment officer movie democratic.,utilities
157.28,Amazon,Ground plan center college reality cup course clearly.,normal
333.08,Shell,Sell clear mention attack popular use accept live.,utilities
2432.04,Amazon,Right how question beautiful ever.,fraudulent
479.46,Netflix,Design leg civil relate final performance risk memory.,normal
494.47,InsuranceCo,Six set interesting dinner recognize.,utilities
138.92,Starbucks,Morning east up summer sort.,entertainment
602.55,Starbucks,Participant guess four author development natural create.,normal
555.54,Walmart,Near establish remember produce.,normal
16.06,Shell,Look both order heavy scientist if traditional.,normal
384.94,InsuranceCo,Chair yet different win still power follow student.,utilities
4.13,Shell,Theory trip our expect.,normal
100.98,LocalMarket,Whether modern stock street far pretty eat.,groceries
717.34,Amazon,Option where tell issue.,normal
113.03,Amazon,Policy listen responsibility him without green.,normal
263.88,LocalMarket,Who gas bed if record budget what allow.,groceries
644.27,InsuranceCo,Exactly investment behavior page know.,normal
646.05,Starbucks,Table play company show.,normal
300.23,LocalMarket,Girl past gas blue.,normal
38.19,Amazon,During set tend last enough seven.,normal
712.32,Netflix,Yeah return success serve culture.,normal
38.79,Starbucks,Seat degree production pressure mind win.,entertainment
645.29,Amazon,Fly relate condition capital similar family similar brother.,normal
396.77,Netflix,Somebody wish produce pretty go north leg.,normal
346.54,InsuranceCo,Dark effect stop option ever range.,utilities
109.11,Shell,Risk this less high military.,utilities
460.98,InsuranceCo,Teach level foreign example decade prepare.,normal
164.39,Walmart,Leader yes tough yeah.,groceries
119.34,Netflix,Growth four election today many season election.,entertainment
613.34,LocalMarket,Scientist tend not fire produce local box.,normal
193.96,Amazon,Statement meet consumer idea attention.,normal
311.12,Shell,Choice couple who him protect purpose meet something.,normal
78.88,Walmart,Light mind available black benefit relate option.,groceries
516.07,Shell,Economy assume give add describe.,normal
165.81,Starbucks,Foreign own cup son indicate painting.,entertainment
273.95,Walmart,Second prepare see this.,groceries
434.93,LocalMarket,Painting eye politics easy fall.,normal
20.65,Walmart,Perform sister position cup.,groceries
59.83,LocalMarket,Thousand may gas message type.,groceries
650.17,Netflix,South each agreement concern sit stage.,normal
433.92,Netflix,Newspaper fear expert mother though though necessary.,normal
670.74,Starbucks,Ago later might positive difference.,normal
354.3,Amazon,Because stand realize exist top traditional idea.,normal
310.59,Walmart,Herself record treatment green.,normal
423.98,Netflix,Lead minute loss government fear relate house.,normal
497.35,Starbucks,Difficult doctor resource successful.,normal
286.13,InsuranceCo,Kind across image out choice.,utilities
569.68,Shell,Sing bed ten until control turn.,normal
210.37,Walmart,Hair get song too financial be.,groceries
60.21,LocalMarket,Bring view talk lose.,normal
140.61,LocalMarket,Action such avoid decade number heavy machine kind.,groceries
299.12,LocalMarket,Prove case someone camera sport past this.,groceries
41.44,Walmart,Simple road customer.,groceries
219.57,Walmart,Project score remain important.,groceries
94.42,Walmart,Range read fast box.,normal
208.56,Starbucks,Piece probably environment head partner including.,normal
85.67,Walmart,Human fine wide.,normal
144.65,Starbucks,Return serve water direction better operation open.,normal
396.22,Amazon,Some surface crime similar risk writer.,normal
41.05,Netflix,Anything make exactly white consumer second because.,entertainment
489.49,Shell,Effect edge event situation.,normal
80.44,Walmart,Bag money share against face continue push language.,groceries
137.6,LocalMarket,City trial think usually.,normal
628.06,InsuranceCo,Fact brother bill remain network building buy.,normal
16.94,Starbucks,Least always speak beat our different.,normal
207.66,Walmart,Animal safe message produce physical.,normal
380.11,Netflix,Tv door figure say.,normal
490.17,Starbucks,Oil inside remember moment campaign item deep.,normal
277.48,LocalMarket,One technology common form.,groceries
35.06,LocalMarket,Member special suddenly tough majority half lay.,groceries
167.19,Netflix,Remember world place within listen.,normal
270.28,Walmart,Language join number.,normal
377.27,Amazon,Tv born better factor.,normal
426.78,Shell,Receive author such person place than most fight.,utilities
172.11,Amazon,Again player others offer because majority large.,normal
148.09,Shell,Paper scene mean something commercial discuss walk.,normal
220.0,Shell,Body himself company edge newspaper.,utilities
665.76,Walmart,Couple pick total food must along knowledge form.,normal
696.75,LocalMarket,Interest computer nearly challenge gas.,normal
146.24,Starbucks,Structure front billion after war long.,normal
240.49,LocalMarket,Happen maybe adult provide show.,groceries
706.95,Walmart,Property section certainly much might go amount.,normal
345.19,Starbucks,Administration cup should four owner thing his word.,normal
14.79,Netflix,Always practice design involve ahead seven today.,entertainment
193.07,Netflix,Sense very use with finish.,normal
177.58,Starbucks,Give we offer I structure thus style.,entertainment
2991.45,InsuranceCo,Student painting yes interest.,fraudulent
78.03,Netflix,Cause move go recognize decade plant decade.,entertainment
273.65,Walmart,Allow ball toward describe.,normal
75.25,Netflix,Follow bar cell mother clearly someone.,normal
12.71,Netflix,Speech first break card fast.,entertainment
160.36,Walmart,Best quite here affect move break run.,groceries
1779.09,InsuranceCo,Leader hold save doctor appear across world.,fraudulent
173.8,Starbucks,Rest personal left against instead onto respond.,entertainment
247.57,Shell,Want professional likely yet but.,normal
270.91,Shell,Friend office themselves.,normal
528.7,Netflix,Others power future scene.,normal
117.79,Netflix,Actually admit represent finish.,entertainment
1343.38,Amazon,Speech media question late.,fraudulent
593.19,Amazon,Keep hundred decade woman.,normal
685.48,Netflix,Prove win painting keep would that.,normal
42.9,Netflix,Dog thought be serious whom newspaper.,entertainment
2373.98,Amazon,My power eye answer enter hand.,fraudulent
68.18,Starbucks,Give list his director audience professor.,entertainment
716.63,Shell,Third drug consider old.,normal
198.33,LocalMarket,Serve reality product forget likely.,groceries
1744.71,InsuranceCo,Lay happy employee generation bill attention simply.,fraudulent
80.04,Starbucks,Mention discuss you let.,entertainment
230.35,InsuranceCo,Much place main information ground many mother TV.,normal
484.13,Starbucks,Though film institution than one.,normal
207.51,Walmart,Knowledge great radio from mouth resource.,normal
339.48,LocalMarket,Nature onto whom.,normal
212.24,Walmart,Catch along design provide example turn.,groceries
345.84,InsuranceCo,Mission item garden world guess set.,utilities
1182.15,InsuranceCo,Although imagine treat short over.,fraudulent
249.68,Walmart,Leg off conference control book song allow.,groceries
109.27,Starbucks,End total talk either leave administration culture billion.,entertainment
284.18,Walmart,When authority apply hotel join lawyer wrong.,groceries
2746.31,Amazon,South late contain this family step.,fraudulent
62.17,InsuranceCo,Real ok none consider.,utilities
143.96,Starbucks,Floor recently cup data.,normal
100.74,LocalMarket,Stock lot discuss and key matter.,groceries
476.17,InsuranceCo,Fly career kind him.,utilities
311.74,Netflix,Size development know.,normal
321.94,LocalMarket,Ball skill music agreement himself goal.,normal
26.09,Amazon,Analysis high follow maintain whole.,normal
104.17,LocalMarket,Light maybe ball.,groceries
82.83,Shell,Nature sometimes book ago between thus.,normal
85.46,Shell,Food time image painting doctor method.,normal
441.6,Amazon,Author process politics paper color analysis young talk.,normal
742.2,Amazon,Traditional put take performance name administration.,normal
254.62,Shell,On nice one.,normal
452.46,Amazon,Important type how early.,normal
769.68,Walmart,While economic bad who stage not.,normal
580.05,InsuranceCo,Never analysis choose Republican may.,normal
279.35,InsuranceCo,Whatever hear exactly you name garden far.,utilities
52.34,Walmart,Course show yourself either plant become past.,groceries
494.0,Netflix,Movie their through pretty total she wish around.,normal
227.2,LocalMarket,Step street within chair job nice.,groceries
1414.86,Amazon,After staff mission cup soldier lawyer.,fraudulent
554.93,Shell,Charge recently low.,normal
310.62,InsuranceCo,He behavior job rather teacher air require.,utilities
58.43,Shell,Remain he service contain organization large per bank.,utilities
514.42,Shell,Expert event tree role.,normal
215.08,LocalMarket,Successful cultural per husband maintain should.,groceries
284.97,LocalMarket,Can without age everybody.,normal
2.75,LocalMarket,Safe sometimes natural build rich language surface.,normal
32.04,Netflix,Including degree system case share loss.,normal
24.07,Walmart,Population yes buy clearly yeah paper.,groceries
213.85,LocalMarket,Pick time talk market arm carry lose.,groceries
380.96,InsuranceCo,Her despite executive range maybe last.,normal
137.24,Shell,Response very president indicate good public.,normal
741.43,Amazon,Hot relate growth more.,normal
696.75,Shell,Boy continue true sound.,normal
245.88,Walmart,While contain inside although occur nothing place.,groceries
223.44,LocalMarket,She million somebody sister deep.,groceries
47.57,LocalMarket,Race partner watch trade majority despite.,normal
210.83,Shell,Ask common test nothing that account.,utilities
239.06,Walmart,Eat item blue quite dinner source hundred future.,groceries
288.79,Amazon,Stay executive according whom.,normal
489.65,Amazon,Training order picture management material a reveal.,normal
185.27,Starbucks,Hold challenge skill there drop political just join.,entertainment
387.65,Walmart,Live sing they care phone shoulder under.,normal
621.58,Shell,Office join general begin whose bring.,normal
651.13,Shell,Maybe business line second.,normal
399.59,Walmart,Drug professor chance tree option she.,normal
240.84,LocalMarket,Prepare analysis live pretty performance hospital start.,groceries
288.88,InsuranceCo,Nor we run base best power operation.,utilities
122.03,Starbucks,Factor drug tough less.,entertainment
47.95,Starbucks,Plant send quality.,normal
211.47,LocalMarket,Art prevent long offer effect research visit.,groceries
697.09,Shell,Writer only them picture future education.,normal
253.94,LocalMarket,Break beautiful probably same.,groceries
290.31,LocalMarket,Wind prove street street cover second.,groceries
796.65,LocalMarket,Look service phone poor.,normal
109.28,Walmart,Site response wonder sense.,groceries
332.2,Shell,Tell know tonight.,normal
213.58,Shell,Out purpose human red.,utilities
285.41,InsuranceCo,Fine black best fill left dark dream.,utilities
350.24,Shell,Whatever least class him them market many.,normal
171.9,Starbucks,Son staff speech.,entertainment
270.28,Shell,Write affect shoulder remain television speech career structure.,utilities
102.82,Walmart,Worry could PM protect dream college story popular.,groceries
239.66,LocalMarket,Admit employee two knowledge wrong cup.,groceries
207.28,InsuranceCo,Season poor first anything.,utilities
229.87,InsuranceCo,Can middle wrong law.,normal
80.77,Starbucks,Seek common instead still natural care cost.,entertainment
2179.75,Amazon,I street true garden several.,fraudulent
37.73,LocalMarket,Doctor official no several forward leave live carry.,groceries
713.38,Starbucks,Do require Mrs ready quickly.,normal
252.13,Shell,Position enter attorney three.,utilities
138.11,LocalMarket,Head young around statement see know.,groceries
272.12,Netflix,Similar agent civil.,normal
457.3,InsuranceCo,Station stuff building father subject visit.,utilities
48.35,LocalMarket,Minute set too education be various.,normal
527.19,InsuranceCo,Gun writer economy player rate subject who.,normal
299.05,InsuranceCo,Cell grow often stage.,utilities
499.75,Shell,Commercial truth source history oil according.,utilities
477.95,Shell,Wish cold shoulder six.,utilities
567.08,Netflix,Avoid glass activity agree ability half wonder happen.,normal
215.02,InsuranceCo,Manager main national respond.,normal
525.85,InsuranceCo,Across line fund thus heavy use likely.,normal
82.33,Amazon,This father example entire early stock reach.,normal
339.03,Amazon,Woman local have receive.,normal
70.49,Netflix,Interview break couple why work.,entertainment
47.83,Netflix,Owner interest modern pretty hand safe inside.,entertainment
310.96,LocalMarket,Similar relate out ground may or how future.,normal
61.62,LocalMarket,Line individual fine probably each treatment.,groceries
594.58,LocalMarket,Practice enter value choose authority.,normal
17.59,Netflix,Little new whole when.,entertainment
96.17,InsuranceCo,Price catch report scientist community whether forget appear.,utilities
51.08,Netflix,Difference cause chair something.,entertainment
33.73,Shell,Mr send authority several.,normal
637.08,Netflix,Animal senior past time.,normal
752.79,Netflix,Make miss begin bill work fill time away.,normal
178.81,LocalMarket,Body scene full assume.,groceries
12.88,Netflix,Protect activity material change those hit place.,entertainment
1742.01,InsuranceCo,Who sport customer page.,fraudulent
443.99,Shell,Major return way take class finally else.,normal
395.42,Amazon,Opportunity true spring money health.,normal
733.03,Shell,Thousand threat technology because age education wind.,normal
43.95,Starbucks,Boy exist religious land.,entertainment
69.53,LocalMarket,Maintain mission feel cultural.,groceries
114.31,Amazon,Place give free possible test order.,normal
609.42,LocalMarket,Right condition way late staff friend.,normal
634.46,LocalMarket,Which me hot strong discover final learn.,normal
27.51,Walmart,Beyond civil media mouth.,groceries
96.46,Amazon,Around natural short.,normal
643.46,Shell,Everyone Mr understand wonder national Mr prove yet.,normal
154.23,Amazon,Force add include open.,normal
515.87,Starbucks,Him truth room.,normal
61.37,Walmart,Million produce bank guess next.,normal
404.55,Starbucks,Safe coach push few single article.,normal
85.31,Amazon,Believe adult laugh behind through strategy must face.,normal
274.18,Amazon,Personal deal entire.,normal
744.56,Shell,Score surface strategy anyone material describe age.,normal
768.74,InsuranceCo,Serious question medical again hundred special.,normal
481.44,InsuranceCo,Suggest ask thousand popular about same assume.,normal
56.87,InsuranceCo,Relate interest Republican record leave benefit.,utilities
222.28,Shell,Natural cup need home minute sell government.,normal
410.73,Shell,Whether though ask attention stage race.,utilities
380.69,Amazon,Daughter worry young many.,normal
507.89,Shell,Accept oil impact already.,normal
2126.88,InsuranceCo,Put less once laugh together show they.,fraudulent
579.79,Amazon,Capital wife party crime recent million Republican.,normal
346.98,InsuranceCo,Meeting sense college guy really much bed then.,utilities
56.69,Walmart,Dark public sister evening article mouth.,groceries
142.08,Starbucks,Possible agency usually media.,normal
105.8,Amazon,System garden prevent.,normal
359.55,Amazon,Forward remain rest out bring step.,normal
346.49,Shell,May rule through newspaper source throw.,utilities
356.43,Amazon,Better final allow phone.,normal
279.23,Shell,Represent far red drop traditional.,utilities
52.86,Starbucks,Camera many campaign claim trip now.,entertainment
151.24,LocalMarket,Book only bar dream threat what performance.,normal
484.94,Shell,Bring control when herself rule.,utilities
221.08,LocalMarket,Mouth question program focus enter only.,groceries
358.91,Walmart,Official according begin operation.,normal
30.92,Walmart,Yard physical law like hand model finish.,normal
165.07,InsuranceCo,Six line technology ok.,utilities
246.68,Walmart,Something skin world find.,groceries
62.76,Starbucks,Successful reach service.,normal
718.1,Netflix,Describe wind perform finally.,normal
116.9,LocalMarket,Benefit hospital just all traditional.,groceries
241.02,Walmart,Exist democratic it leave knowledge.,groceries
185.53,InsuranceCo,Travel all significant hear physical.,normal
539.02,Amazon,Suddenly blue final per business.,normal
31.81,Amazon,Few beyond thousand involve back establish.,normal
1845.64,Amazon,Action recently list commercial recent.,fraudulent
5.73,Netflix,Various answer service deep.,normal
1286.48,InsuranceCo,Case actually brother central billion.,fraudulent
85.25,Walmart,Present green visit Democrat.,normal
364.35,InsuranceCo,Discuss meeting finally left court officer.,utilities
89.55,Walmart,Television job stock begin.,groceries
304.09,InsuranceCo,Service change party remember.,normal
136.47,LocalMarket,Return real majority four.,groceries
740.28,Amazon,Power film be cup along four week.,normal
660.93,InsuranceCo,Some dark half partner yeah wrong floor.,normal
68.76,InsuranceCo,Consumer agent can.,utilities
323.81,Netflix,Drug rather future member get.,normal
546.22,Starbucks,Plan rate instead treatment yes develop.,normal
213.79,Netflix,Various property half to none see.,normal
533.5,Starbucks,Piece we probably story.,normal
1503.99,InsuranceCo,And responsibility save fast here.,fraudulent
479.77,Shell,Through themselves than field.,normal
428.81,Walmart,Water recent network policy sport any purpose night.,normal
204.72,Amazon,Indicate seek someone chair.,normal
718.05,Amazon,As wear help loss a however.,normal
771.47,LocalMarket,Hope read indicate campaign identify walk well bring.,normal
299.37,Netflix,Though last group way gun.,normal
507.89,Shell,Near someone authority focus still.,normal
53.42,Shell,Ball democratic language pretty present its.,normal
369.17,Shell,Begin season value.,utilities
172.11,Starbucks,Why red hold never something staff us.,entertainment
472.89,Walmart,Simple trip pressure sign season thank bar.,normal
748.78,Starbucks,End media he result however get course action.,normal
760.6,Shell,Stop kitchen image feeling inside.,normal
95.02,Walmart,Wonder serious father stop capital.,normal
114.84,Netflix,Either feeling develop fall hot claim line either.,normal
280.81,Amazon,Anything huge off blue citizen.,normal
719.56,InsuranceCo,Push citizen instead hundred now.,normal
796.32,Netflix,East sport yes field.,normal
106.17,Netflix,Between maybe street technology push.,normal
1553.54,Amazon,Agent anyone indicate relate on.,fraudulent
311.52,Shell,First opportunity wall that executive decade of.,normal
212.34,LocalMarket,Data rate compare American.,normal
343.32,InsuranceCo,Form board note range among improve weight.,utilities
257.26,Walmart,Because PM indeed government consumer surface from measure.,groceries
301.14,Amazon,Rest voice offer wide minute president ok.,normal
90.9,Netflix,Consider religious world show which again.,entertainment
643.29,Shell,Experience help message agreement.,normal
365.04,Walmart,Easy future laugh day over marriage.,normal
696.88,InsuranceCo,Arrive instead skill system.,normal
298.31,InsuranceCo,Sit defense option provide few production despite.,utilities
331.56,LocalMarket,House section local hair.,normal
252.98,Walmart,Fine ahead explain rich wonder.,groceries
187.56,Shell,End agreement mother science fine child.,utilities
227.47,Walmart,Foreign paper wide from current part enough race.,groceries
791.77,Walmart,Effect itself main.,normal
147.8,Walmart,Really activity debate.,groceries
128.6,Starbucks,Camera run itself.,entertainment
246.44,Starbucks,Laugh east modern alone including film present.,normal
166.08,LocalMarket,Respond mention could single member billion.,groceries
554.09,InsuranceCo,Respond several goal six general phone economy.,normal
46.78,Netflix,Strong positive prove commercial represent south.,entertainment
127.15,Walmart,Boy significant mission she meet.,normal
694.2,InsuranceCo,Without where check would north decision.,normal
35.91,Walmart,Nation specific business soon order create.,groceries
179.72,Netflix,Wind program medical pressure close argue.,normal
227.99,LocalMarket,Radio kind war owner girl lose.,normal
231.74,InsuranceCo,Fall eye recognize him listen.,utilities
758.82,LocalMarket,Population it know miss kind money child four.,normal
64.93,LocalMarket,Court whatever big responsibility forward message key.,groceries
59.63,LocalMarket,Hear none car discussion head.,normal
570.08,Shell,Focus cell design her hour.,normal
266.07,LocalMarket,Unit before yet herself sit.,groceries
136.31,InsuranceCo,Possible music learn traditional us short.,normal
153.18,LocalMarket,Fast together test consider ready have draw.,normal
198.94,Starbucks,Office buy media friend of.,entertainment
609.03,Netflix,Easy contain raise deep dog.,normal
154.82,Walmart,Point seem after far animal present.,normal
8.96,Netflix,Address see left which well born have.,normal
2612.4,Amazon,Worker ball book also.,fraudulent
634.31,Amazon,Stay avoid reflect recent little against.,normal
121.68,LocalMarket,Heavy low worker south adult or mind.,groceries
794.97,Walmart,Describe stand including next article purpose.,normal
170.33,LocalMarket,Lose part green finish.,groceries
471.23,InsuranceCo,Past production significant despite food professor magazine add.,utilities
723.15,LocalMarket,Current long picture sea about threat.,normal
2949.1,Amazon,Assume amount food clear mention.,fraudulent
52.59,Netflix,Majority lead realize plant single record.,entertainment
317.41,LocalMarket,Friend late ball knowledge change article identify laugh.,normal
347.4,Netflix,Turn believe general behavior single number hit.,normal
101.08,LocalMarket,Artist writer up.,normal
172.93,Starbucks,Sea over rate after American.,normal
276.96,Amazon,Opportunity hospital leave.,normal
404.58,LocalMarket,Surface suggest back low because certain total.,normal
124.25,Shell,Product camera item rather management watch a.,utilities
230.22,Netflix,Charge such blue exist star.,normal
341.32,Netflix,Hundred choice general raise difference face.,normal
172.33,Walmart,Change process travel long.,groceries
357.4,Shell,Choice along large agreement authority art.,normal
506.92,InsuranceCo,Fall plant already five player necessary investment.,normal
148.6,Starbucks,Alone wonder record adult.,entertainment
244.12,Walmart,Able risk staff bad ask let.,groceries
364.66,Netflix,Including hard mention crime.,normal
87.11,Netflix,Him again tree wife region life.,entertainment
653.66,Amazon,Charge movie other which.,normal
145.97,Starbucks,Miss contain rest at itself director case.,entertainment
245.72,Walmart,Than free three stuff produce recent interview.,groceries
440.01,Shell,Year evidence country ask far.,utilities
386.39,Netflix,Study just common interview media that.,normal
387.41,InsuranceCo,Republican everybody general main culture plan power.,normal
587.02,Starbucks,Door thank sing nearly generation president board.,normal
180.01,Netflix,Real even audience movie room admit.,entertainment
107.36,Netflix,Little those result.,entertainment
794.17,Amazon,Low impact act suffer television know together.,normal
76.12,Netflix,National box over military why despite.,normal
365.34,Walmart,Rest spring young evening star.,normal
165.62,Starbucks,Face into act.,normal
466.77,Amazon,Newspaper push grow rise.,normal
163.11,Starbucks,Until prepare them shoulder.,entertainment
230.02,LocalMarket,Want work recent when body concern huge.,groceries
57.0,Walmart,Federal just voice who population explain.,groceries
709.89,Walmart,Drop create second back room up.,normal
235.21,Amazon,Happen material city crime project deal black charge.,normal
175.06,Walmart,Live front data bank.,groceries
170.78,LocalMarket,Himself as defense begin would each.,normal
187.01,Walmart,Else side list.,groceries
59.26,InsuranceCo,Sit wish home civil.,normal
256.53,Walmart,Then send open late.,groceries
751.42,LocalMarket,Raise Mrs arm.,normal
54.65,LocalMarket,Check same network threat must type worker.,groceries
686.66,Starbucks,It drop two.,normal
115.79,InsuranceCo,Worry purpose environment manage.,normal
604.58,Starbucks,Bank lose moment your item management some west.,normal
11.16,LocalMarket,Deal spend economy cell race front.,normal
245.38,LocalMarket,Form special heart interesting enough.,normal
776.15,Amazon,Best end pay company to himself interesting.,normal
219.4,LocalMarket,Clearly few write item usually.,groceries
50.66,Netflix,Owner speak message lose foreign cup.,entertainment
50.59,Shell,Rule seat cultural soon past lot race interest.,utilities
341.76,Amazon,Key even life he nothing follow later.,normal
508.15,Netflix,Country along soldier usually recognize other.,normal
466.29,InsuranceCo,Either situation look former house me organization.,utilities
475.79,LocalMarket,Understand first during main.,normal
393.04,Shell,Big almost money model create family.,normal
207.39,Walmart,Step out operation month once admit.,groceries
660.13,Amazon,Foot travel near decide.,normal
642.2,LocalMarket,At beat picture determine.,normal
82.14,Amazon,But although painting long cause under history.,normal
249.86,Shell,Statement policy little.,normal
405.78,Amazon,Property hand field final skin down.,normal
351.79,Shell,Car service challenge inside purpose your.,normal
439.34,Starbucks,Car cell church wait hold well score.,normal
276.25,InsuranceCo,Bit area believe message hope energy probably them.,utilities
584.45,Walmart,Difference speech business identify.,normal
310.51,Shell,Third push like account bit senior player.,utilities
150.2,Walmart,Another good common direction.,groceries
55.27,InsuranceCo,Bank significant it personal at throw mission.,utilities
428.36,Amazon,Attention need parent bring pick hand.,normal
191.83,Walmart,West get type beyond.,normal
27.4,Starbucks,Large enough happen.,entertainment
461.03,Shell,Candidate guess stop.,normal
610.24,InsuranceCo,Whatever force important house board stuff.,normal
360.72,Shell,Pretty base only describe.,utilities
482.18,Netflix,Strong police over.,normal
176.35,Amazon,Push much factor arrive think wear democratic.,normal
81.81,LocalMarket,Commercial idea light.,normal
364.26,Netflix,Within tax move believe probably room concern.,normal
676.68,Starbucks,Pretty these single spring.,normal
58.9,Netflix,Eat manager manager sea ever.,entertainment
168.63,LocalMarket,Event determine nearly born agent who.,normal
342.48,Shell,Eat ability order feeling culture sell.,utilities
135.89,Starbucks,Image system production surface north than field.,normal
513.52,Walmart,Until teacher me.,normal
92.48,LocalMarket,Might and power discover state fall nation address.,groceries
283.52,Netflix,Hospital activity heavy operation increase more north.,normal
493.66,Walmart,Ready table nation institution audience.,normal
93.48,LocalMarket,Worker yet although maybe bar trial.,groceries
670.22,Netflix,Religious sense leader he.,normal
381.05,Netflix,Event throw your dog him.,normal
1882.46,Amazon,Paper light push analysis role.,fraudulent
145.65,LocalMarket,Black live purpose use drug stop character.,groceries
109.66,LocalMarket,Admit best finish market.,normal
759.79,Starbucks,Whether mouth after job.,normal
93.24,LocalMarket,Usually other respond.,groceries
60.76,Amazon,Increase move grow hour company.,normal
664.5,Walmart,Practice evidence road miss agreement spend outside.,normal
690.09,Shell,Keep economic seat structure others executive everyone.,normal
392.54,Walmart,Or east eye ask box.,normal
460.13,LocalMarket,Involve again degree.,normal
787.03,Netflix,Environmental big upon a.,normal
329.88,Shell,Marriage after government age thank.,utilities
457.76,Netflix,Your raise too either situation fund.,normal
604.49,Netflix,Wish special cause loss Democrat arrive need.,normal
286.53,InsuranceCo,Several individual list ever.,normal
663.68,InsuranceCo,Between know home parent.,normal
168.1,Starbucks,College measure land government deal bag.,entertainment
112.62,Netflix,Around measure likely rich expect citizen make responsibility.,entertainment
433.74,Starbucks,Author house how interview join us.,normal
174.37,Walmart,Land soon choose close time open.,groceries
123.93,Netflix,Rock tell this power.,entertainment
1105.22,Amazon,Book participant if available yet.,fraudulent
321.24,Netflix,Project indicate what bed happy ever out.,normal
7.33,Starbucks,On wish task like size.,normal
75.76,Netflix,Those senior probably management southern account half hour.,normal
